CAMADA: cam_escondida 
Perceptron: 1
Peso [0]: -1.399765570522323
Peso [1]: -1.3225914200309103
Peso [2]: 2.313134455021228
Peso [3]: 4.4266000389683855
Peso [4]: -0.5143217143762672
Peso [5]: -3.82947686959114
Peso [6]: -1.3263915311305725
Peso [7]: -1.7812962363619884
Peso [8]: -1.308067534147476
Peso [9]: -3.415056091152916
Peso [10]: 2.52586566219174
Peso [11]: -2.3827240872483864
Peso [12]: -0.9630028665886994
Peso [13]: -1.9100248802750315
Peso [14]: -3.055838345196217
Peso [15]: -4.033525425313237
Peso [16]: -2.93992148939119
Peso [17]: 0.08306306433454837
Peso [16]: -2.93992148939119
Peso [19]: -3.2666140739881113
Peso [20]: -1.2616200348063193
Peso [21]: -2.0558383451962245
Peso [22]: -2.0335254253132486
Peso [23]: 0.5406045007474877
Peso [24]: -2.471586491939179
Peso [25]: 1.5082724968429582
Peso [26]: -4.284207239336899
Peso [27]: -2.507201248451481
Peso [28]: -1.0558383451962168
Peso [29]: -1.3363525209405984
Peso [30]: 2.120352068495353
Peso [31]: -2.4549412374835247
Peso [32]: 1.0497831495368954
Peso [33]: -3.924061457930395
Peso [34]: -2.3922124280962427
Peso [28]: -1.0558383451962168
Peso [36]: 1.9073963280314123
Peso [37]: 0.8931723440037639
Peso [38]: 2.040915413453629
Peso [39]: -0.029653505504817997
Peso [40]: 2.674307679356545
Peso [41]: -1.5247944138002634
Peso [42]: -0.5807037434344965
Peso [43]: 1.580703743434499
Peso [44]: -2.85953692345635
Peso [45]: -2.936711073947759
Peso [46]: -1.7500307690604067
Peso [47]: 1.1991730775948302
Peso [48]: -1.7864854330445887
Peso [49]: -1.3061616346002656
Peso [50]: 2.3061616346002536
Peso [9]: -3.415056091152916
Peso [52]: -2.415056091152918
Peso [53]: -4.492230241644312
Peso [54]: 3.612290439390155
Peso [55]: -1.666750363709658
Peso [56]: 0.9856370151257664
Peso [57]: 3.6183303333137573
Peso [58]: 3.461576472186036
Peso [59]: -1.5581976660962655
Peso [60]: 2.352070317790096
Peso [61]: 1.9630028665887027
Peso [62]: 0.17254948826453367

Perceptron: 2
Peso [0]: 1.947615595253242
Peso [1]: -0.5328360567434395
Peso [2]: -2.081940967724469
Peso [3]: -0.9509731874837886
Peso [4]: -1.5740936507678476
Peso [5]: 1.662761945874877
Peso [6]: -0.6347268776525111
Peso [7]: 1.9288386428221627
Peso [8]: -1.6569202703990071
Peso [9]: 1.3944411743879617
Peso [10]: 0.017561637672023525
Peso [11]: -0.050218362251130216
Peso [12]: -1.1809212448661504
Peso [13]: 0.9468039603909446
Peso [14]: 0.8587002456041211
Peso [15]: -0.5867818731809651
